ADMIN,,,,,,,,,,,
169987,59.99,69,,,,,,,,,
0,100,10,100,20,100,30,100,40,100,50,100
1,369,1212,,,,,,,,,
SENPAI,,,,,,,,,,,
169987,59.99,69,,,,,,,,,
0,100,10,100,20,100,30,100,40,100,50,100
2,369,369,,,,,,,,,
TEJÓN,,,,,,,,,,,
169987,59.99,69,,,,,,,,,
0,100,10,100,20,100,30,100,40,100,50,100
3,369,369,,,,,,,,,
SERGÄY,,,,,,,,,,,
169987,59.99,69,,,,,,,,,
0,100,10,100,20,100,30,100,40,100,50,100
4,369,369,,,,,,,,,
NIGGO,,,,,,,,,,,
169987,59.99,69,,,,,,,,,
0,100,10,100,20,100,30,100,40,100,50,100
5,369,369,,,,,,,,,
